name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu,type
Smaaash,No,Yes,4.0 /5,189,Whitefield,"Casual Dining, Pub","North Indian, Pizza, Chinese","1,500",[],Dine-out
Marigold Fine Dine Restaurant,No,Yes,4.0 /5,292,Whitefield,Casual Dining,"Continental, Asian","1,500",[],Dine-out
Barley & Grapes Cafe,No,No,4.2 /5,843,Whitefield,Cafe,"Cafe, Italian, Continental","1,000",[],Dine-out
Lot Like Crepes & Cafe,Yes,No,4.0 /5,21,Whitefield,"Cafe, Dessert Parlor","Cafe, Continental, Desserts",600,"['English Breakfast', 'Chicken Peri Peri and Cheese Crepe', 'Nutella with Banana', 'Plain Nutella', 'Waffle and Cream', 'Vegeterian Breakfast', 'Vegan Breakfast', 'Paneer and Toast', 'Bread and Butter', 'Potato Blast', 'Bread and Jam', 'Jimmys Malaysian Kaya and Toast', 'Eggeterian Breakfast', 'Eggs and Toast', 'English Breakfast', 'Englsih Loaded Breakfast', 'Waffle Breakfast', 'Cheese Omelette', 'Masala Omelette', 'Spinach Fritata Omelette', 'Mix Veg Basil Omelette', 'Basil Chicken Omelette', 'Chicken and Bacon Omelette', 'Ceaser Salad', 'Greek Salad', 'Lot Like Crepes Special Green Salad', 'Pesto Paneer Crepe', 'Peri Peri Paneer Crepe', 'Pesto Mushroms Crepe', 'Peri Peri Mushrooms Crepe', 'Creamy Mushrooms Crepe', 'Spinach Mushrooms Crepe', 'Chicken Pesto and Cheese Crepe', 'Chicken Peri Peri and Cheese Crepe', 'Chicken Creamy and Cheese Crepe', 'Simply Veg Burger', 'Lot Like Crepes Special Veg Burger', 'Peri Peri Chicken Burger', 'Pesto Chicken Burger', 'Potato Sandwich', 'Veg Coleslaw Sandwich', 'Grilled Cheese Sandwich', 'Mushrooms Cheese Sandwich', 'Corn Spinach Cheese Sandwich', 'Egg Cheese Sandwich', 'Chicken Cheese Sandwich', 'Bacon Cheese Sandwich', 'Bacon Lettuce and Tomato Sandwich', 'French Fries', 'Potato Wedges', 'Veg Cutlet', 'Garlic Bread', 'Cheese Garlic Bread', 'Meatballs with Capsicum and Onion', 'Sausages Capsicum and Onion', 'Nutella with Banana', 'Plain Nutella', 'Kiwi Nutella', 'Toffee with Banana', 'Kiwi Toffee', 'Banana Chcocolate', 'Kiwi Chcocolate', 'Waffle and Cream', 'Choco Pancake Cream', 'Just Pancake Cream', 'Mango Ice Cream [2 Scoops]', 'Vanilla Ice Cream [2 Scoops]', 'Strawberry Ice Cream [2 Scoops]']",Dine-out
Hyderabad Biryaani House,Yes,No,3.6 /5,378,Whitefield,Casual Dining,"Biryani, North Indian, Chinese",700,[],Dine-out
Tiffin Room - Miraya Hotel & Residences,No,Yes,3.7 /5,138,Whitefield,Fine Dining,"North Indian, South Indian, Asian","2,000",[],Dine-out
Happy Singh,Yes,No,3.8 /5,515,Whitefield,Casual Dining,"Chinese, North Indian",900,[],Dine-out
Incanto - The Zuri,No,Yes,4.0 /5,89,Whitefield,Fine Dining,Italian,"2,500",[],Dine-out
Whats Ap,No,No,3.3 /5,9,Whitefield,Casual Dining,Andhra,800,[],Dine-out
Rivayat,Yes,Yes,3.9 /5,487,Whitefield,Casual Dining,"North Indian, Mughlai",800,"['Kadi Chawal Meal', 'Rajma Chawal Meals', 'Bhatti ka Murg', 'Rivayat Special Bhatti ka Murg', 'Fish Tandoori Tikka', 'Chicken Chilli', 'Chicken Manchurian', 'Chicken Lollipop', 'Paneer Tikka Masala', 'Paneer Makhani', 'Kadai Paneer', 'Palak Paneer', 'Dal Tadka', 'Dal Makhani', 'Murg Makhani', 'Murg Hyderabadi', 'Subz Dum Biryani', 'Jeera Rice', 'Egg Dum Biryani', 'Chicken Dum Biryani', 'Mutton Dum Biryani', 'Garlic Naan', 'Stuffed Paratha', 'Egg Fried Rice', 'Non Veg Fried Rice', 'Non Veg Hakka Noodles', 'Paneer Makhani', 'Palak Paneer', 'Paneer Tikka Masala', 'Dal Makhani', 'Murg Makhani', 'Malai Paneer Tikka', 'Achari Paneer Tikka', 'Til Wali Subz Seekh', 'Rivayat Special Bhatti Da Chitta Murgh', 'Amritsari Tali Maachi Ajwaini', 'Murg Peshwani Tikka', 'Prawns Tandoori Jhinga', 'Sarson Ka Sag', 'Paneer Makhani', 'Palak Paneer', 'Paneer Tikka Masala', 'Rajma Raseele', 'Dal Makhani', 'Kadi Pakora', 'Malai Kofte', 'Murg Makhani', 'Murg Desi Ghee Amritsari', 'Murg Rara', 'Murg Sag Wala', 'Mutton Sag Wala', 'Bhuna Mutton', 'Aloo Special Amritsari Kulcha', 'Paneer Special Amritsari Kulcha', 'Pyaaz Special Amritsari Kulcha', 'Gobi Special Amritsari Kulcha', 'Makke De Roti', 'Butter Naan', 'Lachcha Paratha', 'Bhatura', 'Keema Jallandhari Naan', 'Special Kheer Badami', 'Kadi Chawal Meal', 'Rajma Chawal Meals', 'Channa And Poori Combo', 'Sarsoe Ka Saag And Makki Di Roti', 'Dal Makhani Meal', 'Dal Tadka Meal', 'Mix Veg Kadai Meal', 'Paneer Makhani Meals', 'Paneer Kadai Meal', 'Murg Makhani Butter Naan Combo', 'Murg Curry Patiala Combo', 'Panjabi Malai Chicken Combo', 'Murg Rara Laccha Patorha Combo', 'Murg Makhani Meal', 'Murg Desi Ghee Meal', 'Murg Kadai Kadai Meal', 'Subz Dum Biryani Meal', 'Chicken Dum Biryani Meal', 'Cream of Tomato', 'Vegetable Clear Soup', 'Hot and Sour Veg Soup', 'Veg Manchow Soup', 'Cream of Mushroom Soup', 'Cream of Chicken Soup', 'Chicken Clear Soup', 'Hot and Sour Chicken Soup', 'Chicken Manchow Soup', 'Hara Bhara Kabab', 'Special Dahi ke Kabab', 'Palak Chana Cheese Kabab', 'Subz Galouti Kabab', 'Subz Seekh Kabab', 'Classic Paneer Tikka', 'Achari Paneer Tikka', 'Tandoori Aloo', 'Tandoori Khumb', 'Bhatti ka Murg', 'Rivayat Special Bhatti ka Murg', 'Murg Tikka', 'Murg Malai Kabab', 'Murg Hara Masala', 'Murg Afghani Tikka', 'Murg Reshmi Tikka', 'Murg Lasooni Kabab', 'Murg Achari Tikka', 'Murg Chandi Tikka', 'Murg Seekh Kabab', 'Kalmi Kabab', 'Fish Tandoori Tikka', 'Fish Achari Tikka', 'Amritsari Tali Machhi', 'Tandoori Prawns', 'Vegetable Dragon Roll', 'Vegetable Wonton', 'Mushroom Manchurian', 'Paneer Chilli', 'Paneer Manchurian', 'Gobi Chilli', 'Gobi Manchurian', 'Gobi 65', 'Veg Ball Manchurian', 'Baby Corn Chilli', 'Baby Corn 65', 'Baby Corn Manchurian', 'Egg Pepper Dry', 'Egg Chilli', 'Chicken Dragon Roll', 'Chicken Wontons', 'Chicken Singapore', 'Chicken Chilli', 'Chicken 65', 'Chicken Manchurian', 'Chicken Lollipop', 'Chicken Wings in Schezwan Sauce', 'Prawns Chilli', 'Prawns Manchurian', 'Paneer Tikka Masala', 'Paneer Makhani', 'Shahi Paneer', 'Methi Malai Matar', 'Corn Methi Malai Matar', 'Malai Kofta', 'Subz Hyderabadi', 'Kadai Paneer', 'Subz Kadai', 'Matar Paneer', 'Palak Paneer', 'Veg Makhani', 'Veg Kolhapuri', 'Chana Masala', 'Dal Tadka', 'Dal Fry', 'Dal Makhani', 'Mushroom Masala', 'Mushroom Corn Mutter', 'Bhindi Do Pyaza', 'Jeera Aloo', 'Gobi Aloo', 'Egg Curry Patiala', 'Egg Kalimirch', 'Egg Masala', 'Murg Makhani', 'Murg Hyderabadi', 'Murg Chops Raseela', 'Murg Kolhapuri', 'Murg Kadai', 'Murg Kali Mirch', 'Murg Saagwala', 'Murg Shahi Kurma', 'Murg Curry Patiala', 'Murg Desi Ghee', 'Bhuna Mutton', 'Mutton Hyderabadi', 'Mutton Saagwala', 'Mutton Roganjosh', 'Machi Lababdar', 'Jhinga Lababdar', 'Paneer in Schezwan Sauce', 'Veg Dumpling in Hot Garlic Sauce', 'Gobi in Chilli Sauce', 'Chicken in Hot Garlic Sauce', 'Chicken in Schezwan Sauce', 'Diced Chicken in White Sauce', 'Chicken in Chilli Sauce', 'Chicken in Manchurian Sauce', 'Fish in Hot Garlic Sauce', 'Fish in Schezwan Sauce', 'Prawns in Hot Garlic Sauce', 'Prawns in Schezwan Sauce', 'Tandoori Roti', 'Butter Roti', 'Tandoori Mirchi Roti', 'Tawa Roti', 'Naan', 'Butter Naan', 'Garlic Naan', 'Rivayat Special Cheese Naan', 'Rivayat Special Cheese Garlic Naan', 'Lachha Paratha', 'Methi Paratha', 'Pudina Paratha', 'Stuffed Paratha', 'Rumali Roti', 'Butter Rumali', 'Kulcha', 'Butter Kulcha', 'Rivayat Special Khamiri Naan', 'Keema Naan', 'Subz Dum Biryani', 'Peas Pulao', 'Jeera Rice', 'Subz Pulao', 'Plain Basmati Rice', 'Special Ghee Rice', 'Egg Dum Biryani', 'Chicken Dum Biryani', 'Mutton Dum Biryani', 'Fish Biryani', 'Prawn Biryani', 'Veg Fried Rice', 'Veg Hakka Noodles', 'Veg Schezwan Fried Rice', 'Veg Schezwan Noodles', 'Egg Fried Rice', 'Egg Noodles', 'Non Veg Fried Rice', 'Non Veg Hakka Noodles', 'Non Veg Schezwan Fried Rice', 'Non Veg Schezwan Noodles', 'Green Salad', 'Mixed Raita', 'Boondi Raita', 'Plain Dahi', 'Masala Papad', 'Plain Papad', 'Tandoori Chicken Salad', 'Ice Cream', 'Gulab Jamun', 'Gulab Jamun with Ice Cream', 'Rivayat Special Kheer', 'Thums Up [250 ml]', 'Coke [250 ml]', 'Thums Up [750 ml]', 'Coke [750 ml]', 'Masala Coke', 'Fresh Lime Soda', 'Fresh Lime Juice', 'Mineral Water']",Dine-out
Hasee-E-Shan Makers Of Biryani,Yes,No,3.5 /5,16,Whitefield,Quick Bites,"Biryani, Mughlai, North Indian",500,[],Dine-out
Tandoor Box,Yes,No,3.9 /5,168,Whitefield,Casual Dining,"Mughlai, North Indian, Biryani",600,"['Chicken Tikka Roll', 'Non Veg Tandoori Momos [6 Pieces]', 'Chicken Biryani', 'Shahi Veg Combo', 'Non Veg Combo', 'Shahi Non Veg Combo', 'Non Veg Platter [12 pieces]', 'Paneer Tikka', 'Soya Malai Chap', 'Chicken Tikka', 'Tandoori Chicken', 'Tangri Kabab', 'Dal Makhani', 'Kadhai Paneer', 'Soya Chaap Masala', 'Paneer Butter Masala', 'Boneless Butter Chicken', 'Chicken Tikka Masala', 'Dhaba Chicken', 'Veg Combo', 'Shahi Veg Combo', 'Non Veg Combo', 'Shahi Non Veg Combo', 'Veg Platter [15 pieces]', 'Non Veg Platter [12 pieces]', 'Paneer Tikka', 'Malai Paneer Tikka', 'Soya Achari Tikka', 'Soya Malai Chap', 'Tandoori Mushroom', 'Chicken Tikka', 'Murg Malai Tikka', 'Tandoori Chicken', 'Afghani Chicken', 'Tangri Kabab', 'Chicken Seekh', 'Dal Makhani', 'Dal Tadka', 'Shahi Paneer', 'Kadhai Paneer', 'Soya Chaap Masala', 'Soya Makhani', 'Paneer Butter Masala', 'Kadhai Mushroom', 'Methi Malai Paneer', 'Boneless Butter Chicken', 'Butter Chicken', 'Kadhai Chicken', 'Chicken Tikka Masala', 'Dhaba Chicken', 'Chicken Butter Masala', 'Methi Malai Murgh', 'Whole Wheat Tandoori Roti', 'Whole Wheat Butter Roti', 'Plain Naan', 'Butter Naan', 'Garlic Naan', 'Whole Wheat Lachha Paratha', 'Whole Wheat Pudina Paratha', 'Aloo Pyaaz Paratha', 'Green Mirchi Paratha', 'Red Mirchi Paratha', 'Paneer Paratha', 'Gobi Pyaaz Paratha', 'Mixed Veg Paratha', 'Keema Chicken Paratha', 'Veg Pulao', 'Jeera Rice', 'Chicken Biryani', 'Snacker Chicken Biryani', 'Paneer Tikka Roll', 'Malai Paneer Roll', 'Soya Achari Tikka Roll', 'Soya Malai Chaap Roll', 'Tandoori Mushroom Roll', 'Egg Roll', 'Chicken Tikka Roll', 'Chicken Malai Tikka Roll', 'Chicken Seekh Roll', 'Paneer Tandoori Momos [6 Pieces]', 'Non Veg Tandoori Momos [6 Pieces]']",Dine-out
Boondock Bistro,Yes,Yes,3.9 /5,1636,Whitefield,"Casual Dining, Cafe","Steak, Continental, American, Italian, Salad, Cafe",900,"['Spiced Chicken and Crisp Bacon Salad', 'Honey Chilli Potatoes', 'Spicy BBQ Chicken Wings', 'Fish Fingers', 'Bacon Wrapped Sausages', 'Bacon Wrapped Prawns', 'Honey Glazed Chilli Pork Chunks', 'Grilled Chicken and Cheese Steak', 'Spaghetti and Meatballs', 'Fish and Chips', 'Grilled Fish Fillet', 'Shepherds Pie', 'Oriental Spare Ribs', 'Boondock Mixed Grill', 'New York Steak', 'Bechamel Cremelicious White Sauce', 'Arrabiatta Spicy Tomato Sauce', 'Carbonara Creme Sauce with Bacon', 'Chicken Lasagna', 'Beef Lasagna', 'Club Sandwich Bacon', 'The Baconator', 'Farm House Chicken Burger', 'Pork Pulled BBQ Burger', 'Veg Meal Combo Box', 'Jamaican Jerk Chicken Combo', 'Chicken Wings Combo', 'Chicken Poppers Combo', 'Jamaican Jerk Chicken Combo', 'Chicken Wings Combo', 'Chicken Clear Soup Combo', 'Cream of Chicken Soup Combo', 'Chicken Minestrone Soup Combo', 'Cream of Chicken Combo 2', 'Lemon Cilantro Chicken Combo', 'Chicken Minestrone Soup Combo 2', 'Veg Meal Combo Box', 'Non Veg Meal Combo Box', 'Mushroom Cream Soup', 'Mix Veggie Cream Soup', 'Broccoli Cream Soup', 'Carrot Cream Soup', 'Mix Vegetable Clear Soup', 'Roast Corn Clear Soup', 'Mushroom Clear Soup', 'French Onion Clear Soup', 'Minestrone Soup', 'Chicken Cream Soup', 'Chicken Clear Soup', 'Shrimps Cream Soup', 'Calamari Clear Soup', 'Classic Caesar Salad', 'Broccoli and Herbed Potato Salad', 'Three Bean Salad', 'Mediterranean Salad', 'Italian Pasta Salad', 'Honey Glazed Chicken Salad', 'Spiced Chicken and Crisp Bacon Salad', 'Dell Beef Salad', 'Honey Chilli Potatoes', 'Roll Up Veg Cheese Cigars', 'Mushroom Caps with BBQ Sauce', 'Veg Stuffed Potato Skins', 'Veg Crostini', 'Cheesy Fries', 'Chilli Cheese Toast', 'Cheesy Garlic Bread', 'Non Veg Potato Skins', 'Non Veg Crostini', 'Chicken Tenders', 'Jamaican Jerk Chicken', 'Meatball Mexicana', 'Spicy BBQ Chicken Wings', 'Herbed Fish Fritters', 'Fish Fingers', 'Crispy Prawns with Crunchy Cereals', 'Calamari Fritti', 'Fiery Meatball Skewers', 'Bacon Wrapped Sausages', 'Bacon Wrapped Prawns', 'Chilli Beef Strips', 'Honey Glazed Chilli Pork Chunks', 'Grilled Veg Steak', 'Veg Paprika', 'Veg Arrabiata Steak', 'Boondock Mixed Veg Grill', 'Cottage Cheese Corn Steak', 'Veg Strongoff', 'Veg Casserole', 'Veg Au Gratin', 'Skewered Grilled Veggies', 'Veg A La King', 'Grilled Veg Pancake', 'Grilled Chicken and Cheese Steak', 'Wild Spicy Chicken Steak', 'The Kingston Steak', 'Slow Roasted Chicken Steak', 'Tequila Chicken', 'Pollo Champagne', 'Spaghetti and Meatballs', 'Lemon Cilantro Chicken', 'Herb Crusted Chicken Steak', 'Chicken Stroganoff', 'Chicken Schnitzel', 'Fish and Chips', 'Crumb fried Fish Fillet', 'Grilled Fish Fillet', 'Grilled Gamberoni', 'Grilled Pepper Garlic Marinara', 'Mac N Cheese Shrimps Casserole', 'Shepherds Pie', 'Grilled Spicy Pork Sausages', 'Garlic Pork Chops', 'Oriental Spare Ribs', 'Boondock Mixed Grill', 'Flaming Steak', 'Double Marinated Steak', 'Big Dawg Chateaubriand', 'New York Steak', 'Garlic Pepper Steak', 'Smothered Steak', 'Texas T Bone Steak', 'Beef Stroganoff', 'Bechamel Cremelicious White Sauce', 'Al Fungi Mushroom Sauce', 'Arrabiatta Spicy Tomato Sauce', 'Cilantro Pesto Creamy Coriander Sauce', 'Boondock Special Creamy Curried Sauce', 'Bolognese in Mince Sauce', 'Marinara Classic Seafood Sauce', 'Carbonara Creme Sauce with Bacon', 'Veg Lasagna Pasta', 'Chicken Lasagna', 'Beef Lasagna', 'Veg Club Sandwich', 'Cheese Melt Sandwich', 'Veg Cheese Burger', 'Mexican Bean Burger', 'Egg and Mayo', 'Blt', 'Ham and Cheese', 'Club Sandwich Chicken', 'Club Sandwich Bacon', 'Roast Beef Sandwich', 'Spicy Mexican Chicken Sandwich', 'Chicken Burger', 'Boondock Special Burger', 'Classic Hamburger', 'The Baconator', 'Bleddy Burger', 'Farm House Chicken Burger', 'Crumb Fried Fish Burger', 'The Mayhem Burger', 'The Oinkment', 'Chicken Pulled BBQ Burger', 'Pork Pulled BBQ Burger', 'Beef Pulled BBQ Burger', 'Crispy Chicken Burger', 'Chicken The Boondock Point Five Sluggers', 'Beef The Boondock Point Five Sluggers', 'Pork The Boondock Point Five Sluggers', 'Chicken Grilled Pounder [Half]', 'Beef Grilled Pounder [Half]', 'Chocolate Brownie [1 Piece]']",Dine-out
Bling - The Zuri,No,No,3.7 /5,228,Whitefield,Lounge,"Continental, North Indian","2,100",[],Dine-out
Alpha - House of Biryani & Tandoor,Yes,No,3.5 /5,395,Whitefield,Casual Dining,"Biryani, North Indian, Chinese",800,[],Dine-out
Punjabi Kitchen,Yes,No,3.6 /5,205,Whitefield,Quick Bites,"Chinese, North Indian",400,[],Dine-out
Burgundy - Royal Orchid Suites,No,Yes,3.9 /5,104,Whitefield,Casual Dining,North Indian,"1,200",[],Dine-out
Nandhini Deluxe,No,Yes,2.9 /5,268,Whitefield,Casual Dining,North Indian,600,[],Dine-out
Copper Chimney,Yes,Yes,4.1 /5,93,Whitefield,Casual Dining,"North Indian, Biryani","1,200",[],Dine-out
Flavours Radha Hometel,No,Yes,3.5 /5,185,Whitefield,Casual Dining,"North Indian, Continental, Chinese, South Indian",800,[],Dine-out
Oregano Soul Food,Yes,No,4.1 /5,142,Whitefield,Cafe,Cafe,700,"['Chicken Club Sandwich', 'Veg Nachos', 'Veg Creamy Spinach Pasta', 'Veg Tomato Basil Pasta', 'Non Veg Creamy Spinach Pasta', 'Veg Mushroom Risotto', 'Akuri on Toast', 'Boiled Egg', 'Fried Egg', 'Sunny Side Up', 'Masala Omelette', 'Poached Egg', 'Fluffy Omelette', 'Scrambled Egg', 'Cheese Omelette', 'Mushroom and Broccoli Omelette', 'Chicken and Cheese Omelette', 'Lemon and Coriander Soup', 'Garlic Vegetables Soup', 'French Onion Soup', 'Cream of Broccoli Soup', 'Mushroom Corn Soup', 'Chicken and Pepper Soup', 'Clear Chicken Soup', 'Hot and Sour Chicken Soup', 'Tossed Salad', 'Veg Russian Salad', 'Veg Greek Salad', 'Veg Caesar Salad', 'Watermelon, Spinach and Cottage Cheese Salad', 'Non Veg Russian Salad', 'Non Veg Greek Salad', 'Non Veg Caesar Salad', 'Veg Nachos', 'French Fries', 'Corn Chatpata', 'Garlic Bread [6 Pieces]', 'Baby Corn Paprika', 'Baby Corn Chilly', 'Chilli Cheese Toast [6 Pieces]', 'Bruschetta [6 Pieces]', 'Mushroom Honey Chilly', 'Cheese Cherry Pineapple', 'Paneer Satay', 'Non Veg Nachos', 'Chicken Nuggets', 'Chicken Popcorn', 'Chicken Honey Chilly', 'Chicken Egg Roll', 'Veg Creamy Spinach Pasta', 'Veg Tomato Basil Pasta', 'Veg Aglio Olio Pasta', 'Non Veg Creamy Spinach Pasta', 'Non Veg Tomato Basil Pasta', 'Non Veg Aglio Olio Pasta', 'Veg Mushroom Risotto', 'Non Veg Mushroom Risotto', 'Tandoori Paneer Sandwich', 'Spinach Corn Sandwich', 'Veg Club Sandwich', 'Veg Russian Sandwich', 'Tomato Cheese Sandwich', 'Tandoori Chicken Sandwich', 'Chicken Club Sandwich', 'Chicken Mayo Sandwich', 'Non Veg Russian Sandwich', 'Veg Burger', 'Egg Burger', 'Chicken Burger', 'Pav', 'Peanut Brew', 'Spicy Brew', 'Hot Chocolate', 'Espresso', 'Cappuccino', 'Latte', 'Mocha', 'Ice Cappuccino', 'Cold Coffee', 'Choco Frappe', 'Assam Tea', 'Darjeeling Tea', 'Green Tea', 'Masala Chai', 'Lemon Grass Tea', 'Spearmint Tea', 'Elaichi Tea', 'Lemon Iced Tea', 'Peach Iced Tea', 'Mango Iced Tea', 'Raspberry Iced Tea', 'Mango Milk Shake', 'Strawberry Milk Shake', 'Chocolate Milk Shake', 'Bubble Gum Milk Shake', 'Banana Caramel Milk Shake', 'Chikoo Milk Shake', 'Oreo Milk Shake', 'Brownie Milk Shake', 'Kitkat Milk Shake', 'Mango Smoothie', 'Strawberry Smoothie', 'Peach Smoothie', 'Banana Smoothie', 'Triple Sundae', 'Brownie Sundae', 'Hot Fudge Sundae', 'Banana Split Sundae', 'Chocolate Brownie', 'Walnut Brownie', 'Fudge Brownie', 'Chocolate Truffle Pastry', 'Black Forest Pastry', 'Choco Chip Mousse', 'Checkered Cake', 'Mango Shrikhand', 'Red Velvet Cupcake']",Dine-out
Anushka Restaurant,Yes,No,3.4 /5,7,Whitefield,Casual Dining,"North Indian, Chinese",600,"['Chicken Biryani', 'Chicken Kalmi Biryani', 'Mutton Biryani', 'Veg Fried Rice', 'Chicken Fried Rice', 'Panner Tikka', 'Panner Malai Tikka', 'Panner Achari Tikka', 'Panner Ajawain Tikka', 'Panner Hariyali Tikka', 'Veg Seekh Kabab', 'Veg Malai Kabab', 'Mushroom Tikka', 'Mushroom Malai Tikka', 'Mushroom Achari Tikka', 'Mushroom Ajwain Tikka', 'Veg Hara Bhara Kabab [6 Pieces]', 'Egg Chilly Manchurian', 'Egg Chilly 65', 'Egg Salt and Pepper', 'Egg 65', 'Egg Bhurji', 'Tandoorl Chicken', 'Kalml Kabab (4Pieces)', 'Chicken Tandoorl Kabab', 'Chlcken Reshmi Kabab', 'Chicken Tikka [6 Pieces]', 'Chicken Malai Tikka', 'Chicken Ajwain Tikka', 'Chicken Achari Tikka', 'Chicken Seekh Kabab', 'Chicken Hara Methi Kabab', 'Chicken Spicy Kabab', 'Chicken Pudina Kabab', 'Tandoori Chicken', 'Kalmi Kabab [2 Pieces]', 'Fish Chilly Manchurian', 'Fish Chilly 65', 'Prawns Chilly Manchurian 65', 'Prawns Salt and Pepper', 'Changyi Prawns', 'Changyi Fish', 'Changyi Fish', 'Fish Salt and Pepper', 'Fish Chilly Crispy', 'Tawa Paneer', 'Paneer Kolapuri', 'Paneer Punjabi', 'Paneer Kadai', 'Panner Hydrabadi', 'Panner Butter Masala', 'Palak Paneer', 'Paneer Do Pyaza', 'Malai Mushroom Masala', 'Tawa Veg', 'Methi Malai Matar', 'Mushroom Kadai', '.Mushroom Kolapuri', 'Grren Peas Masala', 'Mushroom Do Pyaza', 'Kadai Veg', 'Mushroom Kali Mirchi', 'veg Kali Mircn', 'Bhindl Masala', 'Pudina Veg', 'Aloo Gobi Matar Masala', 'Gobi Matar', 'Aloo Jeera', 'Aloo Capsicum Masala', 'Kaju Paneer', 'Kaju Masala', 'Paneer Peshawari', 'Methi Paneer', 'Veg Malai Kofta', 'Shahi Navaratna Kurma', 'Plain Palak', 'Malai Khumb Palak', 'Dal Fry', 'Dal Tadka', 'Dal Palak', 'Dal Methi', 'Dal Makhani', 'Egg Masala', 'Egg Curry', 'Chicken Patiyala', 'Chicken Handi', 'Chicken Peshawari', 'Tawa Chicken', 'Chicken Tlkka Masala', 'Chicken Hydrabadl', 'Chicken Tikka Masala Saagwala', 'Chicken Tikka Masala Kadai', 'Chicken Tikka Masala Lasooni Kurma', 'Chicken Tikka Masala Do Pyaza', 'Pudina Chicken', 'Chicken Masala', 'Chicken Methi Masala', 'Chicken Tikka Masala Punjabi', 'Chicken Tikka Masala Kali Mirch', 'Chicken Kolapuri', 'Chicken Curry', 'Butter Chicken', 'Fish Masala', 'Prawns Masala', 'Tawa Mutton', 'Mutton Rara', 'Mutton Hydrabadi', 'Mutton Masala', 'Mutton Kolapuri', 'Mutton Do Pyaza', 'Mutton Kadai', 'Mutton Kali Mirch', 'Mutton Rogan Josh', 'Plain Roti', 'Butter Roti', 'Plain Naan', 'Butter Naan', 'Plain Kulcha', 'Butter Kulcha', 'Plain Lachhedar Paratha', 'Butter Lachhedar Paratha', 'Plain Stuffed Kulcha', 'Butter Stuffed Kulcha', 'Plain Garlic Naan', 'Butter Garlic Naan', 'Plain Aloo Paratha', 'Butter Aloo Paratha', 'Plain Gobi Paratha', 'Butter Gobi Paratha', 'Plain Onion Paratha', 'Butter Onion Paratha', 'Plain Pudina Paratha', 'Butter Pudina Paratha', 'Plain Methi Paratha', 'Butter Methi Paratha', 'Plain Missi Roti', 'Butter Missi Roti', 'Plain Roti Basket', 'Butter Roti Basket', 'Plain Phulka', 'Butter Phulka', 'Veg Biryani', 'Paneer Biryani', 'Mushroom Biryani', 'Egg Biryani', 'Chicken Biryani', 'Chicken Kabab Biryani', 'Chicken Kalmi Biryani', 'Mutton Biryani', 'Fish Biryani', 'Prawns Biryani', 'Mushroom Pulao', 'Veg Pulao', 'Peas Pulao', 'Pulao', 'Ghee Rice', 'Jeera Rice', 'Curd Rice', 'Plain Rice', 'Veg Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Veg Noodles', 'Veg Schezwan Noodles', 'Veg Chilly Garlic Noodles', 'Egg Noodles', 'Egg Schezwan Noodles', 'Chicken Noodles', 'Chicken Schezwan Noodles', 'Chicken Chilly Garlic Noodles', 'Gobi Manchurian', 'Crispy Veg Chilli', 'Sanghao Potato', 'Veg Ball Chilli', 'Gobi Chilli', 'Gobi 65', 'Paneer Manchurian', 'Paneer Chilli', 'Paneer 65', 'Mushroom Manchurian', 'Mushroom Chilli', 'Mushroom 65', 'Baby Corn Manchurian', 'Baby Corn Chilli', 'Baby Corn 65', 'Veg Ball Manchurian', 'Veg Ball Chlli', 'Veg Ball 65', 'Potato Manchurian', 'Potato 65', 'Lemon Chicken', 'Garlic Chicken', 'Ginger Chicken', 'Salt and Pepper Chicken', 'Chicken Lollipop [6 Pieces]', 'Crispy Chicken [6 Pieces]', 'Hunan Chicken', 'Chicken in Red Curry', 'Shanghai Chicken', 'American Coppices Veg and Chicken', 'Chaises Coppies Veg and Chicken', 'Chicken Manchurian', 'Chicken 65', 'Chicken Chilli', 'Lamb Chilli', 'Lamb 65', 'Lamb Manchurian', 'Lamb Salt and Pepper', 'Lamb in Hunan Sauce', 'Lamb Shanghai', 'Green Salad', 'Boondi Raita', 'Onion Raita', 'Cucumber Raita', 'Mixed Veg Raita']",Dine-out
Chez Mariannick,No,No,4.1 /5,395,Whitefield,Casual Dining,"French, Pizza, Bakery","1,000",[],Dine-out
Cafe Noir,No,Yes,4.1 /5,1140,Whitefield,Casual Dining,"European, French, Salad","1,500",[],Dine-out
Punjab Beat,Yes,Yes,NEW,0,Whitefield,Casual Dining,North Indian,700,[],Dine-out
Bhagini IRIS,No,No,3.7 /5,115,Whitefield,Casual Dining,"North Indian, Chinese",600,[],Dine-out
Biryani Paradise,Yes,No,3.8 /5,136,Whitefield,Casual Dining,"Andhra, Biryani",700,[],Dine-out
